"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap2","eute"
"76","Perityle_stansburyi_42_rock_spring",227018,205.3,4,5,155,1.504,85,65.62,51.88,30,0.167244612690006,0.0847640437899571,0.104444623972823,0.654795809915618,0.123478897797839
"77","Perityle_staurophylla_42",237637,214.9,4,3,157,1.816,90,66.88,56.88,44.38,0.164111164228118,0.084209228502251,0.104426671134929,0.729968108039292,0.13818518002386
"78","Perityle_tenella_86_Beaver_dam",99933,90.4,4,2,157,2.794,96.86,90.57,74.21,52.83,0.253190517965889,0.0794814320473669,0.0769601589956518,0.464614335432762,0.111468979745829
"79","Perityle_trichodonta_bolanos_208",222776,201.4,4,7,152,0.964,75.47,44.65,35.22,18.24,0.213541032205626,0.264242087538419,0.129808659318637,0.189190527823036,0.207927643765869
"80","Perityle_turneri_33_Mexiquilla",292701,264.6,4,6,153,1.088,75.47,50.31,33.96,25.16,0.0689852581537734,0.0365642231160498,1,0.0648437086509536,0.0383289543898767
"81","Perityle_vandevenderi_117_sierra_cucurpe",237655,214.9,4,2,155,1.317,92.99,61.78,44.59,28.03,0.169664052559222,0.0885665510415884,0.108302988050392,0.604935922835617,0.104321218445265
"82","Perityle_vaseyi_ernst_209",239386,216.4,4,1,158,2.156,95.6,81.76,71.7,53.46,0.169907941515787,0.0950379034221371,0.105166394548189,0.687161071924632,0.136405334946688
"83","Perityle_vigilans_109",115033,104,4,7,153,1.455,83.12,56.25,43.12,28.75,0.253455648038293,0.0898466414121474,0.20479583467564,0.166057055068168,0.102758054593472
"84","Perityle_villosa_45_Hanuapah_cyn",272307,246.2,4,1,159,1.733,89.38,71.25,58.12,38.75,0.149120310703782,0.0917161763808102,0.112623637703752,0.704567187685512,0.108286739788791
"85","Perityle_yellow_87",230091,208,4,2,142,7.084,97.92,97.92,97.92,97.22,0.455388026562143,0.141777173224319,0.137964400852294,0.276778089457701,0.158643796459004
