"","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"Perityle_cernua_84",1.68885,1.85921,1.22896,1.5223,1.70585,1.95113,1.24539,1.22845,2.55982,2.87448,32.3483,3.95533,3.94894,3.97147
"Perityle_cfvillosa_25_tin",1.80087,1.45187,1.67578,1.67228,1.33828,1.3126,1.21626,1.34752,2.77475,3.01529,5.94964,5.14894,6.94221,20.17115
"Perityle_cinerea_113_Powell1310",6.10154,1.79248,1.18573,2.73683,1.33438,2.69028,0.98856,1.33868,2.05967,3.84784,4.97215,3.3338,3.52745,3.40617
"Perityle_coahuilensis_24",1.1714,1.8311,1.553,0.9595,1.46717,1.12299,1.58312,1.22687,3.50821,3.57259,8.28597,8.09395,9.28229,13.28854
"Perityle_cochisensis_44_cave_creek",2.377,1.84862,1.71518,2.63976,1.7664,1.9049,1.15777,1.37473,3.35357,4.94932,6.80649,5.14367,6.48711,7.69926
"Perityle_congesta_202",1.16032,1.77433,1.26057,1.13563,1.19403,1.46435,1.14879,1.14541,2.95578,3.55926,7.32427,5.73398,8.16681,23.29178
"Perityle_cordifolia_27",1.3512,2.77518,2.27081,1.38232,2.01565,1.89671,2.0382,1.75799,6.3273,13.43128,5.65441,5.31935,5.59296,5.19315
"Perityle_cordifolia_68_tecolote",1.68594,3.15936,3.0954,1.48259,1.88878,2.08195,2.13168,2.68463,6.84777,6.1417,4.91575,4.90444,5.70321,4.66408
"Perityle_coronopifolia_28_patagonia",2.59463,3.3732,2.6316,2.24654,2.62725,2.41694,12.16604,6.49975,3.57507,2.50214,2.07447,2.15545,2.38291,2.16556
"Perityle_crassifolia_70_ventanas",2.68627,1.96084,1.56955,3.46909,37.57792,2.76174,1.09155,1.59398,1.2491,1.68655,1.58103,0.83973,1.14456,0.95453
"Perityle_crassifolia_74_playa_balandra",4.93599,2.1905,1.88314,3.9994,30.18378,3.52943,0.99847,1.57158,1.23855,2.5535,1.48044,0.78561,1.20522,1.06946
"Perityle_cuneata_34_cuneata_San_antonio",2.31796,3.54114,3.33547,20.28171,4.66839,2.89895,1.57658,2.13818,1.77828,2.19256,1.41604,1.51271,1.6028,1.67082
"Perityle_cuneata_4",2.1414,6.14528,4.22996,9.22506,8.7743,4.39825,2.6483,3.20081,2.79027,2.5364,2.24676,2.16138,2.33348,1.94
"Perityle_discoidea_81",2.10871,4.63921,3.29079,3.63172,21.55955,8.04304,1.90933,2.31683,2.25409,2.58099,2.27564,1.58134,1.62107,1.4667
