"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,0.0502466549899785,0.0708552171271174,0.0445885849803752,0.244292794794353,0.0583710237019575,0.0615628278864225,0.0885724087921342,0.112496164264202,0.0672077089817568,0.127890521365585,0.104229897707144,0.0660690084653311,0.0762399733751224,0.0675381242684577
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,0.0249879922717177,0.0217887782810983,0.020756424329026,0.0472375064412185,0.0164811964830083,0.0260393049672598,0.018069213782677,0.0161595287253992,0.0390935921373714,0.0560095940764302,0.0810116760386172,0.0718305410509197,0.113458491805729,1
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,0.0301332586988317,0.0286742892019257,0.0212506694690007,0.0420673951381653,0.0207784973684641,0.0255751671598393,0.0223357240674024,0.0190400242456386,0.060197378865662,0.0745580727248411,0.182285313293125,0.125279508253642,0.182529646185072,0.572721401064013
"51","Perityle_jaliscana_203",236734,214,4,9,151,1.671,98.12,86.25,66.88,35,0.0474426247268919,0.0777448787726704,0.0444103198509997,0.0940953041788401,0.0607916082354194,0.0741656158578321,0.108174389940122,0.197283541378592,0.0551082149165978,0.0864257399926495,0.080441939761904,0.0474439359421517,0.0537411437687837,0.0539318275221081
"52","Perityle_lemmonii_12",230326,208.2,4,6,153,2.132,94.97,74.21,65.41,44.65,0.0353767537603149,0.0438700924222023,0.0230826049105103,0.0483609992562159,0.0307160689261825,0.0406801903929344,0.0232886252246315,0.0338005038546777,0.0702301140037777,0.140042517081738,0.27639443185577,0.146637276578205,0.212330873696974,0.235259685061801
"53","Perityle_lemmonii_85_hachita",260007,235.1,4,2,157,1.641,84.91,61.64,53.46,37.74,0.0231595673606472,0.0387627158805465,0.0228781380823289,0.0378022111493058,0.0191656178141796,0.0296586993869146,0.0260160072620753,0.0173710529805088,0.0544154876621752,0.074763089864896,0.223204001446753,0.147217013993894,0.190200459269038,0.241550858899434
"54","Perityle_lemmonii_colossal_cave_206",246054,222.5,4,3,156,2.495,96.23,79.87,71.7,56.6,0.0290038099709287,0.0411564207831479,0.0222363524240782,0.0436523708193711,0.0239303686781861,0.0361371323872385,0.0290714876953868,0.024463091697763,0.0698359293503388,0.104549410685877,0.282810224957726,0.1506940944291,0.228686083501717,0.267404432020518
"55","Perityle_leptoglossa_20_rancho_las_laminas",248242,224.4,4,4,154,2.082,93.67,77.85,63.29,44.3,0.0299306621404453,0.0508178642139132,0.0305555477574309,0.0593061101534047,0.0311054137657693,0.0414361438407928,0.0409905493709088,0.0319799973481333,0.113251225728409,0.310923396162058,0.160490659478242,0.101194420363389,0.123314797260547,0.101375281537956
"56","Perityle_lindheimeri_34",211920,191.6,4,2,158,2.236,95.62,78.12,69.38,51.88,0.0366918257164009,0.0451725176545662,0.0208565522494626,0.0521178004914868,0.0268440446181089,0.0377526002932831,0.029647455298389,0.0286602390468433,0.069270789368321,0.118177737160251,0.310794384867211,0.17901901619367,0.208072761871478,0.202323016900324
"57","Perityle_lineariloba_78",202188,182.8,4,2,156,2.301,92.41,77.85,66.46,51.27,0.0341405897329409,0.0363569197363532,0.0215705485419222,0.0571357878008583,0.0311786267901976,0.0386576061264513,1,0.0581071354156801,0.0317822025241758,0.0349558111602933,0.0512029998485237,0.0264790808429042,0.0321028754564788,0.0233913394997662
"58","Perityle_lloydii_79",127937,115.7,4,2,156,1.398,72.15,46.2,36.08,28.48,0.0564280168288763,0.0590478490132374,0.033074186055144,0.0969754382884668,0.042520572606824,0.0647520458016387,0.041987361132713,0.0589746746727786,0.119040861227641,0.204396645701871,0.164782384236575,0.0841931950296701,0.0989390450900786,0.0985421876384871
