"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"69","Perityle_rosei_74",218770,197.8,4,4,156,1.383,88.75,68.12,50,28.12,2.22887,8.1474,10.67829,4.21615,3.42681,3.47446,2.37306,3.07335,2.19895,3.0474,2.45498,1.67026,1.91346,1.79182
"70","Perityle_rosei_jalisco_223",225684,204.1,4,1,140,5.103,98.58,98.58,95.74,91.49,2.3499,7.84172,12.40994,3.16147,3.37068,3.2811,2.83791,2.9372,2.55109,2.93932,2.56143,2.23007,2.33604,2.54687
"71","Perityle_rupestris_10_rupestris_davis",71834,64.9,4,1,141,1.389,64.79,51.41,42.25,26.76,7.25851,2.35298,1.55915,3.6563,2.36249,3.22503,1.40492,1.99773,2.63441,4.60656,6.71759,5.02102,4.56635,4.71255
"72","Perityle_rupestris_30_albiflora_chisos",231188,209,4,3,157,1.597,86.25,61.25,50,38.75,1.4256,2.21493,1.4035,1.59377,1.5949,1.53008,1.00315,1.47256,3.33604,3.46992,9.68365,7.12686,6.90752,6.85325
"73","Perityle_saxicola_224",309550,279.9,4,5,155,1.694,93.75,69.38,56.25,33.13,1.37047,1.92536,1.42358,1.08692,1.42737,1.31242,1.35279,1.29973,3.70846,3.77234,8.64021,7.36772,8.84574,12.58825
"74","Perityle_socorrensis_san_benedicto_213",206021,186.3,4,1,159,0.653,42.5,33.75,28.12,15.62,2.17359,1.84287,1.39715,1.70534,59.27907,1.93694,0.87449,1.15094,0.94731,1.26687,1.01986,0.56631,0.75851,0.68445
"75","Perityle_specuicola_41_negro_bill_canyon",273496,247.3,4,7,153,1.77,96.88,79.38,60,37.5,1.62477,1.6189,1.22978,1.04045,1.28329,1.47785,0.94904,1.02496,2.57171,2.43987,5.48218,4.7321,7.3701,18.74337
"76","Perityle_stansburyi_42_rock_spring",227018,205.3,4,5,155,1.504,85,65.62,51.88,30,1.98631,1.98955,1.26084,1.75993,1.5805,1.91992,1.0691,1.53127,2.78272,3.07064,6.25625,5.21695,6.61252,20.20028
"77","Perityle_staurophylla_42",237637,214.9,4,3,157,1.816,90,66.88,56.88,44.38,1.67257,2.30939,1.54106,1.23337,1.59868,1.81309,1.15923,1.4235,3.33847,4.54075,8.93673,7.09595,8.50288,10.5567
"78","Perityle_tenella_86_Beaver_dam",99933,90.4,4,2,157,2.794,96.86,90.57,74.21,52.83,4.27479,1.69402,1.19207,2.50032,1.49702,2.7618,1.0399,1.56187,2.41582,4.40952,5.28693,3.49834,4.73438,11.82783
"79","Perityle_trichodonta_bolanos_208",222776,201.4,4,7,152,0.964,75.47,44.65,35.22,18.24,2.06743,7.8058,11.19515,3.1205,3.57875,3.31003,2.30553,3.49249,2.48621,3.07282,2.22767,1.96092,2.10627,2.0815
"80","Perityle_turneri_33_Mexiquilla",292701,264.6,4,6,153,1.088,75.47,50.31,33.96,25.16,1.63535,3.44604,2.80698,2.13424,2.70559,2.08218,7.13125,11.10724,3.06441,2.34847,2.20773,1.96639,2.80788,2.14751
"81","Perityle_vandevenderi_117_sierra_cucurpe",237655,214.9,4,2,155,1.317,92.99,61.78,44.59,28.03,1.57414,1.30248,0.93462,1.4282,1.0379,1.09854,0.83133,0.75756,2.00183,1.96666,2.96798,2.36464,39.60206,3.49653
"82","Perityle_vaseyi_ernst_209",239386,216.4,4,1,158,2.156,95.6,81.76,71.7,53.46,1.56161,2.02971,1.1443,1.31002,1.49615,1.24709,0.99811,1.27885,3.44948,3.81087,7.02094,24.46148,5.65111,5.47278
"83","Perityle_vigilans_109",115033,104,4,7,153,1.455,83.12,56.25,43.12,28.75,3.92448,2.41553,1.94476,3.07623,2.42606,3.16536,9.03966,4.95364,2.42191,3.33109,1.81467,1.53347,1.53388,1.82173
"84","Perityle_villosa_45_Hanuapah_cyn",272307,246.2,4,1,159,1.733,89.38,71.25,58.12,38.75,1.29974,1.48032,1.35547,1.14309,1.32836,1.46509,1.02108,1.40568,2.38023,2.91663,5.87593,5.30623,6.79693,23.44683
"85","Perityle_yellow_87",230091,208,4,2,142,7.084,97.92,97.92,97.92,97.22,1.84634,3.65984,2.94132,11.29691,16.27587,2.40247,2.14222,1.97147,3.31767,5.45231,3.21165,2.88024,3.13031,2.7215
